ID;Active (0/1);Titles ID (Mr = 1, Ms = 2, else 0);Email *;Password *;Birthday (yyyy-mm-dd);Last Name *;First Name *;Newsletter (0/1);Opt-in (0/1);Groups (x,y,z...);Default group ID
;1;1;mauris.Morbi.non@necmollis.co.uk;123456789;1959-12-10;Alexis;Hood;;;Customer;
;1;2;sociis.natoque@ligula.org;123456789;1994-02-02;Kevin;Duncan;;;Customer;
;1;2;nisi.magna.sed@libero.org;123456789;1934-07-23;Demetria;Waters;;;Customer;
;1;1;eget@lobortisauguescelerisque.net;123456789;1931-08-08;Lysandra;Glover;;;Customer;
;1;2;dolor@vitaepurus.net;123456789;1955-08-14;Kerry;Lawson;;;Customer;
;1;1;placerat@Ut.co.uk;123456789;1993-02-14;Basil;Pollard;;;Customer;
;1;1;nibh.enim.gravida@odioAliquam.net;123456789;1986-12-26;Blake;Horn;;;Customer;
;1;1;posuere.vulputate.lacus@eu.ca;123456789;1984-01-10;Kato;Church;;;Customer;
;1;2;turpis@eusemPellentesque.net;123456789;1949-10-02;Indira;Lloyd;;;Customer;
;1;0;enim.non@consectetuereuismodest.org;123456789;1954-05-30;Herrod;Serrano;;;Customer;
;1;0;facilisis@odiosagittissemper.ca;123456789;1930-05-29;Vincent;Farmer;;;Customer;
;1;0;erat.Vivamus@euarcuMorbi.net;123456789;1978-05-03;Yvette;Colon;;;Customer;
;1;0;turpis.Nulla.aliquet@nuncInat.org;123456789;1996-12-29;Riley;Bridges;;;Customer;
;1;0;orci.lobortis.augue@vitaeerat.com;123456789;2012-03-21;Coby;Oneal;;;Customer;
;1;0;Nunc.ullamcorper@eueleifend.edu;123456789;1970-11-20;Chastity;Drake;;;Customer;
;1;0;malesuada.malesuada@lacusEtiam.edu;123456789;1968-05-24;Kaitlin;Montoya;;;Customer;
;1;0;pede.Praesent.eu@non.org;123456789;1930-02-22;Akeem;Mueller;;;Customer;
;1;0;dictum.eu@vulputate.com;123456789;2001-01-25;Tatum;Farley;;;Customer;
